class,feature,mean,var
0,Start Position (X),0.009562044019570524,0.9762097286356565
0,Start Position (Y),0.024399957808223828,1.0203647020446354
0,Start Position (Z),0.032817234354111484,1.0045452923714073
0,Destination Position (X),-0.007840229535073216,1.0025954540045703
0,Destination Position (Y),0.015451222357533599,1.0219819261649135
0,Destination Position (Z),-0.028978019020628104,0.9776338359289677
0,Static Object Count,0.01623629637194125,0.99686353393016
0,Dynamic Object Count,-0.021302799780479734,1.0204446248638137
0,Obstacle Position (X),0.009298578970471184,0.9771977610265319
0,Obstacle Position (Y),-0.019533099528209613,0.9945504084109835
0,Obstacle Position (Z),-0.01977537401113055,0.993847227507801
0,Obstacle Velocity (X),0.025219811839785004,0.9862896208797467
0,Obstacle Velocity (Y),-0.023280763552207723,1.0384051941701697
0,Obstacle Velocity (Z),-0.020756705588317236,0.9790563677287651
0,Path Length (m),-0.000984938995717637,0.9769570268505291
0,Obstacle Height (m),-0.00866856486317172,0.9877964303335256
0,Obstacle Width (m),-0.005762602817400062,0.9885476013490605
0,Obstacle Depth (m),0.03091860255680318,0.9968836941951916
0,Energy Efficiency (%),-0.2849050120927324,1.0312358165000284
0,Collision Avoidance Rate (%),-0.3830156030763271,0.8873881136089419
0,Daily Success Rate (%),0.02655348783409435,0.968434381878882
0,Computation Time (ms),-0.023241591416049624,0.965452119783292
0,StartDest_Distance,-0.023994699904553798,1.0417951160669658
0,StartDest_DistanceXY,-0.010447878736713849,1.0366087820991867
0,StartDest_DeltaZ,-0.04300635911542426,0.9799692035109973
0,Obstacle_Speed,-0.0028356545845723137,1.0248288554558518
0,Obstacle_Volume,-0.00245171750552953,0.9766386834096165
0,Total_Obstacle_Count,0.0046733212625411046,0.998852530129506
0,Dynamic_Obstacle_Ratio,-0.03403985814369826,0.9902401167966773
0,Obstacle_Density_PerMeter,-0.0036301477944063318,0.9801416161442699
0,Pathfinding Algorithm_ABC,0.48633879781420764,0.24981337255483682
0,Pathfinding Algorithm_MABC,0.5136612021857924,0.24981337255483682
1,Start Position (X),-0.020914590305754127,1.0513978916035864
1,Start Position (Y),-0.05336883201878508,0.9513068588759721
1,Start Position (Z),-0.07177952852751883,0.9825504015955576
1,Destination Position (X),0.017148549859582897,0.9938945725012611
1,Destination Position (Y),-0.03379570149118025,0.9502556789509459
1,Destination Position (Z),0.06338220096543708,1.043066423804306
1,Static Object Count,-0.03551285541113893,1.0050224815775475
1,Dynamic Object Count,0.046594570037782265,0.952118828337331
1,Obstacle Position (X),-0.020338326114697075,1.0492714580527103
1,Obstacle Position (Y),0.04272379139835533,1.0092597773971523
1,Obstacle Position (Z),0.04325370650243222,1.010731419599419
1,Obstacle Velocity (X),-0.055162058565904094,1.0255540141308241
1,Obstacle Velocity (Y),0.050920873267577896,0.9122197918416144
1,Obstacle Velocity (Z),0.045400124972056435,1.0428054553575057
1,Path Length (m),0.0021543087993982513,1.0503940062504522
1,Obstacle Height (m),0.01896032713100083,1.0261684202647179
1,Obstacle Width (m),0.012604258752002126,1.0248177728676067
1,Obstacle Depth (m),-0.06762674423778975,1.0001518451992066
1,Energy Efficiency (%),0.6231587714697587,0.3658115206552078
1,Collision Avoidance Rate (%),0.8377512593183495,0.2236114875540788
1,Daily Success Rate (%),-0.058079142712813336,1.0641265422348307
1,Computation Time (ms),0.05083519397375036,1.071799180847243
1,StartDest_Distance,0.05248243126533797,0.9045698881611859
1,StartDest_DistanceXY,0.022852133173131086,0.9191664317710452
1,StartDest_DeltaZ,0.09406570181023217,1.030918603149266
1,Obstacle_Speed,0.006202288314463183,0.9456370084338749
1,Obstacle_Volume,0.005362521555918493,1.0510551621424002
1,Total_Obstacle_Count,-0.010221726586194855,1.0023575546977972
1,Dynamic_Obstacle_Ratio,0.07445371362904515,1.0132695681213602
1,Obstacle_Density_PerMeter,0.007940044379000774,1.0433434052156336
1,Pathfinding Algorithm_ABC,0.4900398406374502,0.24990079622547343
1,Pathfinding Algorithm_MABC,0.5099601593625498,0.24990079622547343
